order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2023-11-11 18:54:09,1,2,268
2,2023-12-21 23:31:55,2,1,117
3,2024-08-23 03:41:53,2,4,370
4,2024-05-31 17:11:23,2,2,982
5,2023-01-10 20:02:18,3,3,135
6,2022-09-13 00:44:08,3,1,775
7,2022-12-17 16:20:39,4,4,177
8,2024-11-22 06:37:50,5,3,986
9,2023-04-07 17:35:51,6,3,362
10,2022-12-02 01:23:29,6,2,781
11,2024-12-25 02:46:16,6,4,862
12,2022-05-12 06:50:40,7,1,939
13,2022-11-27 23:49:07,8,2,508
14,2023-12-02 21:40:11,9,4,813
15,2023-04-02 20:04:16,10,1,160
16,2022-06-05 09:02:19,10,4,305
17,2024-10-01 05:48:22,10,3,893
18,2022-05-16 19:41:05,11,3,88
19,2022-03-28 00:27:56,11,1,919
20,2023-01-21 14:24:00,12,4,487
21,2024-11-16 20:07:22,13,1,286
22,2022-02-14 03:26:43,14,1,527
23,2022-04-25 19:04:11,14,1,661
24,2023-10-25 10:01:49,14,4,965
25,2023-07-31 09:39:45,15,3,741
26,2023-08-07 12:01:44,16,3,212
27,2023-02-02 12:18:03,17,2,114
28,2022-03-26 20:10:02,18,3,141
29,2022-07-17 23:11:03,19,3,438
30,2024-02-21 09:42:29,19,4,717
31,2024-09-20 14:30:35,20,1,536
32,2024-05-19 11:01:40,20,3,776
33,2024-09-07 21:39:04,21,2,367
34,2024-07-19 14:50:17,22,4,264
35,2022-03-09 05:46:31,23,1,265
36,2023-06-25 14:54:07,23,2,813
37,2024-05-30 05:52:22,23,4,904
38,2024-06-01 16:10:42,24,1,586
39,2022-03-04 05:14:53,24,2,934
40,2024-05-26 16:49:11,25,4,6
41,2024-01-11 23:03:31,25,2,82
42,2023-11-18 13:27:05,25,1,458
43,2024-05-24 14:45:38,25,4,525
44,2023-07-12 06:06:17,26,1,641
45,2023-05-15 21:51:24,26,3,734
46,2022-03-18 15:02:51,27,3,207
47,2022-08-04 07:54:28,27,2,808
48,2022-04-01 05:32:11,28,1,832
49,2024-04-25 00:44:04,29,3,312
50,2024-09-09 02:50:27,29,4,715
51,2022-03-20 14:04:38,30,1,647
52,2022-10-20 16:36:54,31,2,592
53,2023-03-24 11:42:11,31,4,780
54,2023-01-02 15:32:21,32,3,697
55,2023-12-24 12:37:42,33,3,145
56,2023-07-01 18:48:11,33,2,499
57,2023-07-29 18:18:51,33,1,747
58,2023-05-14 01:27:32,34,1,53
59,2024-09-05 21:36:23,35,1,21
60,2024-08-08 04:06:23,36,2,448
61,2023-04-02 18:16:30,36,3,596
62,2022-04-11 12:59:01,37,2,217
63,2024-11-24 00:55:28,38,1,21
